name,specialization,hospital,phone_number,location,consultation_fee,wait_time
Dr. Syed Nouman Kazmi,Cardiologist,"HMC Hospital, Guldasht Town, Lahore",,Lahore,"Rs. 1,000",Available Today
Dr. Naveed Mahmood,Cardiologist,"Omar Hospital & Cardiac Centre (Johar Town), Johar Town, Lahore",,Lahore,"Rs. 2,500",Available from Mar 02
Dr. Hamid Mahmood,Cardiologist,"Boots Medical Center, Askari 10, Lahore",,Lahore,"Rs. 1,000",Available Today
Dr. Asad Khan,"Cardiologist, Diabetologist, Medical Specialist","National care hospital okara, Okara",,Lahore,"Rs. 3,000",Available Today
Dr. Zahid Mahmood,Cardiologist,"Mukhtaran Rafiq Welfare Hospital, Fateh Garh, Lahore",,Lahore,"Rs. 1,500",Available Today
Dr. Waheed Ashraf,Cardiologist,"Kiran International Hospital, punjab, Sialkot",,Sialkot,"Rs. 1,500",Available Today
Dr. Madiha Ilyas,Cardiologist,"Rehman clinic, Bhimber road, Gujrat",,Gujrat,"Rs. 1,500",Available Today
Dr. Waqas Ashraf Dar,"Cardiologist, Diabetologist","Mid City Hospital, Jail Road, Lahore",,Lahore,"Rs. 3,000",Available from Mar 01
Dr. Junaid Zaffar,Cardiologist,"Hameed Latif Hospital, Garden Town, Lahore",,Lahore,"Rs. 3,500",Available Today
Dr. Javeria Hussain,Cardiologist,"Al-Nasar Lab And Diagnostic Centre, Faisal Town, Lahore",,Lahore,"Rs. 1,500",Available Today
Dr. Rizwana,Cardiologist,"Taj Consultants Clinics, Gulshan e Iqbal, Karachi",,Karachi,"Rs. 1,800",Available from Mar 02
Dr. Muhammad Wasim Ashraf,Cardiologist,"Noor Hospital, Ferozepur Road, Lahore",,Lahore,"Rs. 1,500",Available Today
