Name,Specialization,Experience,Wait Time,Consultation Fee,Patient Satisfaction
Dr. Syed Nouman Kazmi,Cardiologist,11 Yrs,Available Today,1000,99%
Dr. Naveed Mahmood,Cardiologist,30 Yrs,Available Today,2500,100%
Dr. Hamid Mahmood,Cardiologist,38 Yrs,Available Today,1000,96%
Dr. Asad Khan,"Cardiologist, Diabetologist, Medical Specialist",10 Yrs,Available Today,3000,100%
Dr. Zahid Mahmood,Cardiologist,8 Yrs,Available Today,1500,88%
Dr. Waheed Ashraf,Cardiologist,10 Yrs,Available Today,1500,100%
Dr. Madiha Ilyas,Cardiologist,6 Yrs,Available Today,1500,98%
Dr. Waqas Ashraf Dar,"Cardiologist, Diabetologist",14 Yrs,Available from Mar 01,3000,85%
Dr. Junaid Zaffar,Cardiologist,19 Yrs,Available Today,3500,95%
Dr. Javeria Hussain,Cardiologist,14 Yrs,Available Today,1500,100%
Dr. Rizwana,Cardiologist,15 Yrs,Available from Mar 02,1800,100%
Dr. Muhammad Wasim Ashraf,Cardiologist,N/A,N/A,1500,100%
