name,specialization,hospital,phone_number,location,consultation_fee,wait_time,city,category
Asst. Prof. Dr. Umer Ibrahim Paracha,Cardiologist,"Sardar Memorial Hospital, Gharibabad Maniri, Swabi",,Peshawar,"Rs. 1,200",Available from Mar 02,Peshawar,Cardiologist
Asst. Prof. Dr. Malik Faisal Iftekhar,Cardiologist,"Lady Reading Hospital, Dabgari Gardens, Peshawar",,Peshawar,"Rs. 2,000",Available from Mar 02,Peshawar,Cardiologist
Dr. Izaz Ali Khan,Cardiologist,"Gulberg Medical Center, Gulberg Greens Koral Town, Islamabad",,Peshawar,"Rs. 1,000",Available Today,Peshawar,Cardiologist
Prof. Dr. Ibrahim Shah,Cardiologist,"Dir Medical Centre, Near Lady Reading Hospital, Peshawar",,Peshawar,"Rs. 1,500",Available Today,Peshawar,Cardiologist
Prof. Dr. Miqdad Ali Khan,Cardiologist,"Rehman Medical Institute Hospital, Hayatabad, Peshawar",,Peshawar,"Rs. 2,500",Available from Mar 02,Peshawar,Cardiologist
Prof. Dr. Karamat Ali Shah,Cardiologist,"Rehman Medical Institute Hospital, Hayatabad, Peshawar",,Peshawar,"Rs. 2,500",Available from Mar 02,Peshawar,Cardiologist
Prof. Dr. Waheed A Sahibzada,Cardiologist,"Rehman Medical Institute Hospital, Hayatabad, Peshawar",,Peshawar,"Rs. 2,500",Available from Mar 02,Peshawar,Cardiologist
Dr. Noor Ul Karim Naveed,Cardiologist,"Dhq Hospital, Gaju Khan Road, Mardan",,Peshawar,"Rs. 2,000",Available Today,Peshawar,Cardiologist
Dr. Tariq Shah,Cardiologist,"Al Hadi International Hospital Swabi, KPK, Swabi",,Peshawar,Rs. 800,Available Tomorrow,Peshawar,Cardiologist
Dr. Farman Ullah,Interventional Cardiologist,"Life Care Hospital & Research Institute Hayatabad, Hayatabaad, Peshawar",,Peshawar,"Rs. 2,000",Available Today,Peshawar,Cardiologist
Dr. Umair Ali,Cardiologist,,,Peshawar,Rs. 500,Available Today,Peshawar,Cardiologist
Asst. Prof. Dr. Ikram Ullah,Cardiologist,"Lady Reading Hospital, Dabgari Gardens, Peshawar",,Peshawar,"Rs. 1,500",Available from Mar 02,Peshawar,Cardiologist
Dr. Shamyla Shah,Dermatologist,N/A,N/A,Peshawar,Rs. 3000,Available Today,Peshawar,Dermatologist
Asst. Prof. Dr. Sarah Riaz,Dermatologist,"Northwest School of Medicine, Hayatabad, Peshawar",N/A,Peshawar,Rs. 1000,Available from Mar 02,Peshawar,Dermatologist
Asst. Prof. Dr. Rabeeka Bakhtiar,Dermatologist,"Dr Rabeeka skin and laser clinic, Hayatabaad, Peshawar",N/A,Peshawar,Rs. 2000,Available from Mar 05,Peshawar,Dermatologist
Dr. Nishat Fani,Dermatologist,"Samad Building, Dabgari Garden, Peshawar",N/A,Peshawar,Rs. 2000,Available Today,Peshawar,Dermatologist
Dr. Shahzad Rashid Awan,Dermatologist,"Rahim Medical Center And Hospital, Hasht Nagri, Peshawar",N/A,Peshawar,Rs. 1000,Available from Mar 02,Peshawar,Dermatologist
Dr. Adil Hamayun,Dermatologist,"De Looks Clinic, Khyber Pakhtunkhwa, Peshawar",N/A,Peshawar,Rs. 2000,Available Today,Peshawar,Dermatologist
Dr. Sumaira Khan,Dermatologist,"Frontier Corps Teaching Hospital, Peshawar, Pakistan",N/A,Peshawar,Rs. 1500,Available from Mar 02,Peshawar,Dermatologist
Dr. Sheraz Khan,Dermatologist,"Habib Medical Center, Dubgari Road, Peshawar",N/A,Peshawar,Rs. 2000,Available from Mar 02,Peshawar,Dermatologist
Dr. Saira Jabeen,Dermatologist,N/A,N/A,Peshawar,Rs. 1500,Available Today,Peshawar,Dermatologist
